Latitude,Longitude,Altitude,acce x,acce y,acce z
0,0,0,-5.3,-1.41,11.81
0,0,0,-0.98,-2,10.94
0,0,0,-1.77,-1.49,10.43
0,0,0,-1.84,-1.37,10.51
0,0,0,-1.84,-1.37,10.51
0,0,0,-1.84,-1.37,10.51
0,0,0,-1.84,-1.37,10.43
0,0,0,-1.84,-1.29,10.43
0,0,0,-2.35,1.02,11.53
0,0,0,-0.67,0.43,10.08
0,0,0,-0.98,0.63,11.1
0,0,0,-0.78,1.8,10.4
0,0,0,-0.78,1.26,10.71
0,0,0,-0.78,1.22,10.75
0,0,0,-0.78,1.26,10.71
0,0,0,-0.82,1.26,10.75
0,0,0,-0.78,1.26,10.71
0,0,0,-0.78,1.26,10.67
0,0,0,-0.75,1.26,10.75
0,0,0,-0.78,1.37,10.75
0,0,0,-0.78,1.29,10.71
0,0,0,-0.78,1.29,10.75
0,0,0,-0.75,1.29,10.71
0,0,0,-0.75,1.29,10.71
0,0,0,-0.75,1.29,10.71
0,0,0,-0.75,1.26,10.67
0,0,0,-0.75,1.29,10.71
0,0,0,-0.78,1.29,10.71
0,0,0,-0.78,1.29,10.75
0,0,0,-0.75,1.29,10.75
0,0,0,-0.71,1.26,10.67
0,0,0,-0.75,1.26,10.75
0,0,0,-0.43,0.59,11.38
0,0,0,-0.78,1.06,10.94
0,0,0,-0.78,1.26,10.75
0,0,0,-0.71,1.22,10.71
0,0,0,-0.75,1.29,10.63
0,0,0,-0.71,1.29,10.67
0,0,0,-0.75,1.22,10.75
0,0,0,-0.78,1.29,10.75
0,0,0,-0.71,1.26,10.79
0,0,0,-0.75,1.29,10.67
0,0,0,-0.67,1.22,10.67
0,0,0,-0.75,1.26,10.71
0,0,0,-0.75,1.29,10.75
0,0,0,-0.78,1.29,10.63
0,0,0,-0.75,1.26,10.75
0,0,0,-0.78,1.26,10.75
0,0,0,-0.71,1.22,10.71
0,0,0,-0.75,1.29,10.75
0,0,0,-0.78,1.26,10.71
0,0,0,-0.78,1.29,10.71
0,0,0,-0.75,1.29,10.75
0,0,0,-0.75,1.29,10.71
0,0,0,-0.75,1.29,10.79
0,0,0,-0.75,1.26,10.71
0,0,0,-0.78,1.29,10.75
0,0,0,-0.75,1.26,10.75
0,0,0,-0.75,1.29,10.67
0,0,0,-0.71,1.22,10.71
0,0,0,-0.75,1.26,10.75
0,0,0,-0.75,1.26,10.71
0,0,0,-0.75,1.29,10.71
0,0,0,-0.78,1.26,10.79
0,0,0,-0.75,1.26,10.75
0,0,0,-0.75,1.26,10.75
0,0,0,-0.71,1.29,10.75
0,0,0,-0.78,1.26,10.71
0,0,0,-0.71,1.29,10.71
0,0,0,-0.71,1.26,10.71
0,0,0,-0.71,1.26,10.71
0,0,0,-0.75,1.29,10.75
0,0,0,-0.75,1.29,10.67
0,0,0,-0.75,1.26,10.75
0,0,0,-0.78,1.26,10.71
0,0,0,-0.75,1.29,10.71
0,0,0,-0.78,1.29,10.71
0,0,0,-0.75,1.29,10.75
0,0,0,-0.78,1.29,10.75
0,0,0,-0.75,1.29,10.67
0,0,0,-0.75,1.29,10.71
0,0,0,-0.75,1.26,10.67
0,0,0,-0.75,1.29,10.71
0,0,0,-0.71,1.26,10.71
0,0,0,-0.82,1.45,10.63
0,0,0,-0.94,1.37,10.75
0,0,0,-0.78,1.18,10.79
0,0,0,-0.75,1.22,10.83
0,0,0,-0.78,1.29,10.71
0,0,0,-0.75,1.26,10.75
0,0,0,-0.78,1.29,10.75
0,0,0,-0.75,1.26,10.71
0,0,0,-0.78,1.29,10.75
0,0,0,-0.75,1.26,10.75
0,0,0,-0.78,1.29,10.75
0,0,0,-0.78,1.29,10.63
0,0,0,-0.78,1.33,10.67
0,0,0,-0.78,1.29,10.71
0,0,0,-0.78,1.26,10.67
0,0,0,-0.71,1.26,10.63
0,0,0,-0.71,1.26,10.79
0,0,0,-0.75,1.29,10.71
0,0,0,-0.71,1.26,10.71
0,0,0,-0.75,1.26,10.71
0,0,0,-0.75,1.26,10.71
0,0,0,-0.71,1.26,10.71
0,0,0,-0.75,1.26,10.75
0,0,0,-0.75,1.26,10.67
0,0,0,-0.75,1.26,10.71
0,0,0,-0.75,1.26,10.79
0,0,0,-0.75,1.29,10.75
0,0,0,-0.75,1.29,10.71
0,0,0,-0.71,1.29,10.71
0,0,0,-0.71,1.29,10.75
0,0,0,-0.75,1.29,10.75
0,0,0,-0.78,1.29,10.67
0,0,0,-0.75,1.29,10.71
0,0,0,-0.71,1.29,10.79
0,0,0,-0.75,1.29,10.71
0,0,0,-0.71,1.26,10.71
0,0,0,-0.75,1.22,10.67
0,0,0,-0.75,1.26,10.71
0,0,0,-0.71,1.26,10.67
0,0,0,-0.67,1.26,10.67
0,0,0,-0.75,1.22,10.75
0,0,0,-0.78,1.26,10.75
0,0,0,-0.78,1.29,10.71
0,0,0,-0.82,1.29,10.75
0,0,0,-0.75,1.29,10.67
0,0,0,-0.78,1.29,10.71
0,0,0,-0.78,1.29,10.67
0,0,0,-0.78,1.26,10.71
0,0,0,-0.75,1.33,10.75
0,0,0,-0.75,1.29,10.79
0,0,0,-0.78,1.29,10.71
0,0,0,-0.75,1.29,10.71
0,0,0,-0.78,1.29,10.71
0,0,0,-0.78,1.26,10.79
0,0,0,-0.71,1.26,10.71
0,0,0,-0.75,1.29,10.67
0,0,0,-0.78,1.29,10.75
0,0,0,-0.75,1.29,10.67
0,0,0,-0.75,1.26,10.75
0,0,0,-0.78,1.26,10.71
0,0,0,-0.75,1.26,10.67
0,0,0,-0.75,1.26,10.71
0,0,0,-0.75,1.29,10.67
0,0,0,-0.75,1.26,10.67
0,0,0,-0.78,1.29,10.75
0,0,0,-0.75,1.26,10.71
0,0,0,-0.75,1.29,10.71
0,0,0,-0.78,1.26,10.67
0,0,0,-0.71,1.26,10.67
0,0,0,-0.75,1.26,10.71
0,0,0,-0.75,1.26,10.67
0,0,0,-0.75,1.26,10.71
0,0,0,-0.75,1.26,10.71
0,0,0,-0.75,1.33,10.67
0,0,0,-0.75,1.26,10.71
0,0,0,-0.75,1.29,10.71
0,0,0,-0.75,1.29,10.71
0,0,0,-0.78,1.26,10.71
0,0,0,-0.75,1.26,10.75
0,0,0,-0.75,1.26,10.67
0,0,0,-0.75,1.29,10.71
0,0,0,-0.71,1.29,10.67
0,0,0,-0.71,1.26,10.67
0,0,0,-0.78,1.29,10.71
0,0,0,-0.75,1.26,10.67
0,0,0,-0.75,1.29,10.71
0,0,0,-0.75,1.29,10.75
0,0,0,-0.75,1.26,10.67
0,0,0,-0.75,1.29,10.67
0,0,0,-0.75,1.29,10.67
0,0,0,-0.75,1.26,10.75
0,0,0,-0.75,1.33,10.71
0,0,0,-0.75,1.29,10.71
0,0,0,-0.75,1.26,10.71
0,0,0,-0.75,1.33,10.71
0,0,0,-0.75,1.22,10.71
0,0,0,-0.75,1.29,10.71
0,0,0,-0.75,1.33,10.71
0,0,0,-0.75,1.26,10.71
0,0,0,-0.75,1.29,10.75
0,0,0,-0.75,1.29,10.71
0,0,0,-0.71,1.26,10.79
0,0,0,-0.78,1.26,10.75
0,0,0,-0.75,1.26,10.71
0,0,0,-0.75,1.26,10.67
0,0,0,-0.75,1.29,10.71
0,0,0,-0.75,1.29,10.71
0,0,0,-0.78,1.29,10.67
0,0,0,-0.75,1.26,10.75
0,0,0,-0.75,1.26,10.67
0,0,0,-0.78,1.29,10.67
0,0,0,-0.75,1.26,10.79
0,0,0,-0.75,1.29,10.71
0,0,0,-0.75,1.29,10.75
0,0,0,-0.75,1.26,10.75
0,0,0,-0.78,1.29,10.71
0,0,0,-0.75,1.26,10.75
0,0,0,-0.78,1.29,10.75
0,0,0,-0.78,1.29,10.67
0,0,0,-0.75,1.26,10.75
0,0,0,-0.75,1.29,10.75
0,0,0,-0.75,1.29,10.71
0,0,0,-0.75,1.26,10.71
0,0,0,-0.75,1.26,10.71
0,0,0,-0.78,1.29,10.67
0,0,0,-0.78,1.29,10.71
0,0,0,-0.75,1.26,10.71
0,0,0,-0.78,1.33,10.75
0,0,0,-0.75,1.26,10.71
0,0,0,-0.78,1.26,10.71
0,0,0,-0.75,1.26,10.75
0,0,0,-0.71,1.26,10.71
0,0,0,-0.75,1.29,10.75
0,0,0,-0.75,1.26,10.67
0,0,0,-0.71,1.26,10.71
0,0,0,-0.75,1.29,10.75
0,0,0,-0.78,1.26,10.71
0,0,0,-0.75,1.29,10.71
0,0,0,-0.71,1.29,10.71
0,0,0,-0.75,1.26,10.75
0,0,0,-0.71,1.29,10.75
0,0,0,-0.71,1.29,10.67
0,0,0,-0.75,1.29,10.75
0,0,0,-0.75,1.29,10.67
0,0,0,-0.75,1.26,10.75
0,0,0,-0.75,1.29,10.71
0,0,0,-0.75,1.26,10.67
0,0,0,-0.78,1.29,10.71
0,0,0,-0.82,1.33,10.67
0,0,0,-0.75,1.29,10.67
0,0,0,-0.71,1.29,10.67
0,0,0,-0.71,1.29,10.71
0,0,0,-0.78,1.29,10.79
0,0,0,-0.75,1.26,10.71
0,0,0,-0.75,1.29,10.75
0,0,0,-0.75,1.29,10.71
0,0,0,-0.78,1.26,10.71
0,0,0,-0.75,1.29,10.71
0,0,0,-0.78,1.26,10.71
0,0,0,-0.75,1.29,10.71
0,0,0,-0.75,1.29,10.67
0,0,0,-0.75,1.26,10.71
0,0,0,-0.78,1.26,10.71
0,0,0,-0.75,1.29,10.67
0,0,0,-0.71,1.26,10.75
0,0,0,-0.75,1.29,10.75
0,0,0,-0.75,1.22,10.71
0,0,0,-0.75,1.29,10.71
0,0,0,-0.78,1.26,10.75
0,0,0,-0.71,1.26,10.67
0,0,0,-0.75,1.26,10.75
0,0,0,-0.78,1.26,10.71
0,0,0,-0.75,1.29,10.75
0,0,0,-0.75,1.29,10.75
0,0,0,-0.75,1.29,10.71
0,0,0,-0.75,1.29,10.67
0,0,0,-0.75,1.26,10.67
0,0,0,-0.75,1.29,10.75
0,0,0,-0.75,1.29,10.79
0,0,0,-0.75,1.26,10.71
0,0,0,-0.75,1.29,10.75
0,0,0,-0.75,1.26,10.75
0,0,0,-0.78,1.26,10.75
0,0,0,-0.78,1.26,10.67
0,0,0,-0.59,1.1,10.79
0,0,0,-0.94,1.8,12.28
0,0,0,-0.78,1.33,10.71
0,0,0,-0.75,1.26,10.67
0,0,0,-0.75,1.22,10.75
0,0,0,-0.75,1.26,10.75
30.749862,76.759239,0,-0.75,1.29,10.75
30.749862,76.759231,0,-0.75,1.26,10.71
30.749864,76.759231,0,-0.71,1.26,10.75
30.749866,76.759231,0,-0.75,1.29,10.75
30.749868,76.759231,0,-0.71,1.33,10.75
30.749868,76.759231,0,-0.78,1.29,10.75
30.749868,76.759231,0,-0.75,1.29,10.71
30.74987,76.759231,0,-0.71,1.26,10.67
30.74987,76.759231,0,-0.75,1.29,10.75
30.74987,76.759239,0,-0.71,1.18,10.75
30.74987,76.759239,0,-0.78,1.33,10.75
30.74987,76.759239,0,-0.71,1.22,10.67
30.74987,76.759239,0,-0.75,1.26,10.75
30.749872,76.759239,0,-0.78,1.29,10.75
30.749872,76.759246,0,-0.71,1.26,10.71
30.74987,76.759246,0,-0.75,1.29,10.75
30.74987,76.759246,0,-0.75,1.26,10.71
30.74987,76.759246,0,-0.75,1.29,10.67
30.74987,76.759246,0,-0.75,1.26,10.71
30.74987,76.759246,0,-0.78,1.29,10.75
30.74987,76.759246,0,-0.75,1.26,10.75
30.749868,76.759246,0,-0.78,1.29,10.71
30.749868,76.759246,0,-0.75,1.29,10.71
30.749868,76.759246,0,-0.78,1.29,10.67
30.749868,76.759246,0,-0.78,1.26,10.75
30.749868,76.759246,0,-0.75,1.29,10.75
30.74987,76.759246,0,-0.75,1.29,10.71
30.74987,76.759246,0,-0.75,1.33,10.71
30.74987,76.759246,0,-0.75,1.29,10.71
30.74987,76.759246,0,-0.75,1.29,10.71
30.74987,76.759246,0,-0.71,1.29,10.71
30.74987,76.759246,0,-0.78,1.26,10.71
30.749868,76.759246,0,-0.78,1.29,10.71
30.74987,76.759246,0,-0.75,1.26,10.71
30.74987,76.759246,0,-0.75,1.29,10.75
30.74987,76.759246,0,-0.71,1.29,10.67
30.749872,76.759246,0,-0.75,1.26,10.67
30.749872,76.759246,0,-0.78,1.29,10.71
30.749872,76.759246,0,-0.78,1.29,10.71
30.749872,76.759246,0,-0.78,1.26,10.75
30.749872,76.759246,0,-0.75,1.26,10.71
30.749872,76.759246,0,-0.71,1.26,10.75
30.749872,76.759246,0,-0.71,1.22,10.75
30.749872,76.759246,0,-0.75,1.22,10.75
30.749872,76.759239,0,-0.78,1.29,10.71
30.749872,76.759239,0,-0.75,1.26,10.75
30.74987,76.759239,0,-0.75,1.26,10.67
30.74987,76.759239,0,-0.75,1.29,10.75
30.749872,76.759239,0,-0.75,1.29,10.71
30.749872,76.759239,0,-0.78,1.29,10.71
30.749872,76.759239,0,-0.78,1.29,10.71
30.74987,76.759239,0,-0.75,1.26,10.71
30.74987,76.759239,0,-0.71,1.29,10.71
30.74987,76.759239,0,-0.78,1.26,10.71
30.74987,76.759239,0,-0.75,1.29,10.75
30.74987,76.759239,0,-0.75,1.26,10.67
30.74987,76.759239,0,-0.59,1.14,10.75
30.74987,76.759239,0,-0.75,1.26,10.71
30.74987,76.759239,0,-0.75,1.26,10.71
30.74987,76.759239,0,-0.75,1.26,10.71
30.749868,76.759239,0,-0.71,1.26,10.71
30.749868,76.759239,0,-0.75,1.26,10.71
30.749866,76.759239,0,-0.75,1.29,10.75
30.749866,76.759231,0,-0.75,1.26,10.71
30.749864,76.759231,0,-0.75,1.26,10.71
30.749864,76.759231,0,-0.78,1.22,10.71
30.749862,76.759231,0,-0.71,1.22,10.75
30.749862,76.759231,0,-0.71,1.02,11.06
30.749862,76.759231,0,-0.75,1.26,10.71
30.749862,76.759231,0,-0.71,1.26,10.71
30.749864,76.759231,0,-0.71,1.26,10.71
30.749864,76.759231,0,-0.75,1.26,10.67
30.749864,76.759231,0,-0.75,1.26,10.71
30.74986,76.759239,0,-0.75,1.29,10.67
30.74986,76.759239,0,-0.78,1.33,10.63
30.74986,76.759239,0,-0.75,1.29,10.71
30.749862,76.759246,0,-0.75,1.29,10.71
30.74986,76.759246,0,-0.78,1.26,10.63
30.74986,76.759246,0,-0.75,1.26,10.71
30.749862,76.759246,0,-0.78,1.29,10.79
30.749855,76.759246,0,-0.75,1.06,10.9
0,0,0,-0.86,3.37,9.81
0,0,0,0.78,0.55,11.26
0,0,0,0.59,0.71,12.16
0,0,0,0.63,-0.75,11.38
0,0,0,3.26,-0.75,10.36
30.749753,76.75933,0,-2.31,-3.02,13.73
30.749757,76.75933,0,-0.04,-0.86,10.24
30.749824,76.759284,0,-0.63,-1.84,10.4
30.749828,76.759284,0,2.08,-0.63,7.53
30.74983,76.759277,0,2.47,-0.98,9.3
30.749832,76.759269,0,-2.63,0.04,11.06
30.749834,76.759262,0,-3.73,-0.71,11.41
30.749834,76.759262,0,0.43,1.02,10.94
30.749835,76.759254,0,0.08,0.71,10.67
30.749835,76.759246,0,0.08,0.55,10.79
30.749835,76.759246,0,0.12,0.55,10.71
30.749837,76.759239,0,0.08,0.43,10.79
30.749839,76.759231,0,0,0.43,10.75
30.749839,76.759231,0,0.08,0.47,10.71
30.749841,76.759231,0,0.04,0.39,10.75
30.749843,76.759223,0,0.04,0.35,10.75
30.749843,76.759223,0,0.04,0.43,10.63
30.749843,76.759223,0,0.04,0.35,10.75
30.749847,76.759223,0,0.04,0.35,10.75
30.749849,76.759223,0,0.04,0.31,10.79
30.749851,76.759223,0,0.04,0.31,10.75
30.749851,76.759223,0,-0.04,0.55,11.18
